date,ticker,action,price
2021-07-29,BHARTIARTL,BUY,556.70481821
2021-08-02,TCS,BUY,3219.3999
2021-08-03,RELIANCE,BUY,947.69131363
2021-08-04,RELIANCE,SELL,954.95418562
2021-08-04,ICICIBANK,SELL,714.65002
2021-08-04,SBIN,SELL,456.95001
2021-08-05,RELIANCE,BUY,968.79903538
2021-08-05,ICICIBANK,BUY,702.45001
2021-08-05,SBIN,BUY,441.85001
2021-08-06,RELIANCE,SELL,948.28142198
2021-08-06,BHARTIARTL,SELL,596.70432547
2021-08-09,BHARTIARTL,BUY,588.21361289
2021-08-10,RELIANCE,BUY,947.82749248
2021-08-10,INFY,SELL,1677.25
2021-08-10,ITC,BUY,198.08516308
2021-08-10,SBIN,SELL,426.45001
2021-08-11,RELIANCE,SELL,961.10493035
2021-08-11,INFY,BUY,1677.55
2021-08-12,RELIANCE,BUY,958.01820975
2021-08-13,TCS,SELL,3463.3999
2021-08-13,BHARTIARTL,SELL,625.31744048
2021-08-16,TCS,BUY,3472.95
2021-08-16,BHARTIARTL,BUY,622.37269148
2021-08-18,HDFCBANK,BUY,1513.0
2021-08-18,BAJFINANCE,SELL,6544.1001
2021-08-20,ICICIBANK,SELL,680.70001
2021-08-20,BHARTIARTL,SELL,602.39749706
2021-08-20,BAJFINANCE,BUY,6661.1001
2021-08-23,HINDUNILVR,BUY,2634.1499
2021-08-23,BHARTIARTL,BUY,611.18267472
2021-08-24,ICICIBANK,BUY,694.45001
2021-08-25,ITC,SELL,194.82856197
2021-08-26,BHARTIARTL,SELL,576.09108247
2021-08-27,TCS,SELL,3720.1499
2021-08-30,RELIANCE,SELL,1030.53344737
2021-08-30,TCS,BUY,3701.3
2021-08-30,BHARTIARTL,BUY,609.02318231
2021-08-30,BAJFINANCE,SELL,7165.5
2021-08-31,RELIANCE,BUY,1025.04085503
2021-08-31,ITC,BUY,199.45386211
2021-08-31,BHARTIARTL,SELL,651.82018149
2021-08-31,SBIN,BUY,426.04999
2021-08-31,BAJFINANCE,BUY,7524.5
2021-09-01,BHARTIARTL,BUY,654.12693098
2021-09-01,SBIN,SELL,429.89999
2021-09-02,HINDUNILVR,SELL,2801.05
2021-09-02,SBIN,BUY,429.75
2021-09-03,HINDUNILVR,BUY,2766.7
2021-09-06,RELIANCE,SELL,1101.05144059
2021-09-07,RELIANCE,BUY,1107.99647116
2021-09-15,TCS,SELL,3954.55
2021-09-15,BHARTIARTL,SELL,712.13846667
2021-09-16,TCS,BUY,3903.3
2021-09-16,ITC,SELL,217.81343437
2021-09-16,BHARTIARTL,BUY,705.36552433
2021-09-16,SBIN,SELL,463.70001
2021-09-17,ITC,BUY,218.19099968
2021-09-17,SBIN,BUY,454.10001
2021-09-20,SBIN,SELL,437.45001
2021-09-21,SBIN,BUY,438.79999
2021-09-27,HDFCBANK,SELL,1625.1
2021-09-28,TCS,SELL,3779.1499
2021-09-28,HDFCBANK,BUY,1615.05
2021-10-01,BHARTIARTL,SELL,675.90002
2021-10-05,RELIANCE,SELL,1184.3928514
2021-10-05,TCS,BUY,3833.3
2021-10-05,BHARTIARTL,BUY,699.25
2021-10-06,RELIANCE,BUY,1161.99147597
2021-10-07,HINDUNILVR,SELL,2669.3999
2021-10-11,TCS,SELL,3685.6001
2021-10-11,SBIN,SELL,469.25
2021-10-12,SBIN,BUY,483.0
2021-10-13,ITC,SELL,235.22906975
2021-10-14,ITC,BUY,242.16699635
2021-10-18,ICICIBANK,SELL,745.45001
2021-10-18,INFY,SELL,1792.15
2021-10-19,RELIANCE,SELL,1240.06734997
2021-10-19,ICICIBANK,BUY,747.45001
2021-10-19,INFY,BUY,1822.15
2021-10-19,ITC,SELL,232.1612749
2021-10-20,RELIANCE,BUY,1225.79117641
2021-10-20,ITC,BUY,232.77484331
2021-10-21,INFY,SELL,1753.65
2021-10-22,INFY,BUY,1719.8
2021-10-22,ITC,SELL,223.33547454
2021-10-25,RELIANCE,SELL,1181.0337731
2021-10-25,ICICIBANK,SELL,841.70001
2021-10-26,RELIANCE,BUY,1207.92909598
2021-10-26,ICICIBANK,BUY,829.40002
2021-10-26,SBIN,SELL,512.54999
2021-10-27,SBIN,BUY,519.15002
2021-10-28,ICICIBANK,SELL,798.70001
2021-10-28,SBIN,SELL,501.35001
2021-10-29,RELIANCE,SELL,1151.27869438
2021-10-29,ICICIBANK,BUY,802.04999
2021-10-29,INFY,SELL,1667.75
